Time,V(R5:2)
6.047499379840e-05,3.955838586684e-05
6.098282537188e-05,3.955838586712e-05
6.166622838702e-05,3.955838586257e-05
6.222641668048e-05,3.955838585785e-05
6.281130513873e-05,3.955838587973e-05
6.343529424395e-05,3.955838586319e-05
6.397030553546e-05,3.955838586704e-05
6.447308263507e-05,3.955838585692e-05
6.494729718890e-05,3.955838586153e-05
6.544521054950e-05,3.955838585694e-05
6.600101194110e-05,3.955838586257e-05
6.655957898822e-05,3.955838586550e-05
6.711347303119e-05,3.955838585617e-05
6.771924695697e-05,3.955838585888e-05
6.830661496844e-05,3.955838586174e-05
6.882512769427e-05,3.955838585520e-05
6.931312284198e-05,3.955838587437e-05
6.981284818377e-05,3.955838586308e-05
7.043931684222e-05,3.955838585950e-05
7.111928662982e-05,3.955838586525e-05
7.166516980853e-05,3.955838586643e-05
7.220761975970e-05,3.955838586269e-05
7.281358442035e-05,3.955838585594e-05
7.350871762957e-05,3.955838587435e-05
7.391002378192e-05,3.955838585931e-05
7.431047162738e-05,3.955838588430e-05
7.484281263080e-05,3.955838586309e-05
7.543285093036e-05,3.955838585736e-05
7.579424581256e-05,3.955838586156e-05
7.625501355853e-05,3.955838585948e-05
7.679393491473e-05,3.955838586398e-05
7.739312848773e-05,3.955838586853e-05
7.800653180804e-05,3.955838586378e-05
7.866141996112e-05,3.955838586837e-05
7.932231626239e-05,3.955838586334e-05
7.996480664935e-05,3.955838586623e-05
8.068158826556e-05,3.955838586062e-05
8.117244443622e-05,3.955838585387e-05
8.174350461688e-05,3.955838587490e-05
8.248679837909e-05,3.955838587217e-05
8.328664502826e-05,3.955838586133e-05
8.395583829608e-05,3.955838585759e-05
8.457400998797e-05,3.955838584789e-05
8.531854352679e-05,3.955838585598e-05
8.593499860492e-05,3.955838585236e-05
8.656022748675e-05,3.955838587577e-05
8.718545636859e-05,3.955838587328e-05
8.788802823748e-05,3.955838587430e-05
8.846051892962e-05,3.955838585827e-05
8.900287351336e-05,3.955838585379e-05
8.961589536395e-05,3.955838586653e-05
9.030940732684e-05,3.955838587649e-05
9.082439145770e-05,3.955838586191e-05
9.136235913958e-05,3.955838585653e-05
9.197232923236e-05,3.955838585447e-05
9.266784391131e-05,3.955838585665e-05
9.321544370379e-05,3.955838586539e-05
9.375627240863e-05,3.955838585942e-05
9.435556134906e-05,3.955838586559e-05
9.504916867938e-05,3.955838585856e-05
9.556739530291e-05,3.955838586232e-05
9.612081250873e-05,3.955838586804e-05
