  Time                 , V(R2:1)              , V(R1:2)              
  3.083085508251e-03  ,1.412898005372e+00  ,4.986508794516e-01  
  3.090445585155e-03  ,1.033385963092e+00  ,5.381885518234e-01  
  3.097309751415e-03  ,6.540223348123e-01  ,5.740268521978e-01  
  3.111038083935e-03  ,-1.759456196805e-01  ,6.424360476876e-01  
  3.138494748974e-03  ,-2.095897572536e+00  ,7.644502617127e-01  
  3.160519285107e-03  ,-3.852224444002e+00  ,8.460717048746e-01  
  3.180273313427e-03  ,-4.064318773246e+00  ,9.055568997154e-01  
  3.193493528271e-03  ,-4.066678376811e+00  ,9.376323644303e-01  
  3.205723447704e-03  ,-4.067229828160e+00  ,9.615519301869e-01  
  3.227409238720e-03  ,-4.067201798168e+00  ,9.899431450019e-01  
  3.254487485790e-03  ,-4.067305671118e+00  ,9.996025274494e-01  
  3.308643979931e-03  ,-4.067527835166e+00  ,9.328791680708e-01  
  3.416956968212e-03  ,-4.067385267400e+00  ,4.984195228396e-01  
  3.536952085400e-03  ,-2.962513066414e+00  ,-2.300964587904e-01  
  3.594349546337e-03  ,-3.465695832262e-01  ,-5.586984801681e-01  
  3.610603208447e-03  ,6.331018326190e-01  ,-6.403397040529e-01  
  3.623354978466e-03  ,1.484236195021e+00  ,-6.997605025983e-01  
  3.636968870068e-03  ,2.470364520364e+00  ,-7.582344052783e-01  
  3.651678342724e-03  ,3.619122393901e+00  ,-8.151702912417e-01  
  3.653735990429e-03  ,3.786558587891e+00  ,-8.225904673298e-01  
  3.654250402355e-03  ,3.828671372971e+00  ,-8.244240760733e-01  
  3.655279226208e-03  ,3.913177120254e+00  ,-8.280654368257e-01  
  3.655536432171e-03  ,3.934361656951e+00  ,-8.289703763169e-01  
  3.656050844097e-03  ,3.976800079481e+00  ,-8.307737578994e-01  
  3.656690282726e-03  ,4.029656512847e+00  ,-8.330033460355e-01  
  3.656761987114e-03  ,4.035033470863e+00  ,-8.332525263775e-01  
  3.656905395889e-03  ,4.041317723918e+00  ,-8.337503796127e-01  
  3.657136113548e-03  ,4.045812093984e+00  ,-8.345499107760e-01  
  3.657531888390e-03  ,4.049708304136e+00  ,-8.359173471657e-01  
  3.657927329445e-03  ,4.051995098865e+00  ,-8.372784676847e-01  
  3.658718211555e-03  ,4.054801440934e+00  ,-8.399851938367e-01  
  3.660299975777e-03  ,4.057938396980e+00  ,-8.453363533348e-01  
  3.663463504219e-03  ,4.061258816331e+00  ,-8.557876619887e-01  
  3.668136508369e-03  ,4.063817637990e+00  ,-8.706060504150e-01  
  3.677482516670e-03  ,4.066003463248e+00  ,-8.979792425843e-01  
  3.687121493721e-03  ,4.066712656607e+00  ,-9.229668133194e-01  
  3.701554782295e-03  ,4.067113251507e+00  ,-9.540298699851e-01  
  3.720991427803e-03  ,4.067176451433e+00  ,-9.834354436992e-01  
  3.758351046944e-03  ,4.067322513517e+00  ,-9.986237036876e-01  
  3.833070285225e-03  ,4.067614608570e+00  ,-8.668506105605e-01  
  3.940565402412e-03  ,4.066905394776e+00  ,-3.648191795639e-01  
  4.056397921944e-03  ,2.168819048866e+00  ,3.469888821737e-01  
  4.109559543037e-03  ,-6.498073853760e-01  ,6.352891771107e-01  
  4.125318820381e-03  ,-1.707327670535e+00  ,7.085218431181e-01  
  4.140675265694e-03  ,-2.838525119578e+00  ,7.732107743922e-01  
  4.155026156807e-03  ,-3.978587436534e+00  ,8.271729404199e-01  
  4.155227930450e-03  ,-3.995186351376e+00  ,8.278847018812e-01  
  4.155631477737e-03  ,-4.028406547068e+00  ,8.293042317621e-01  
  4.155688418055e-03  ,-4.032855065769e+00  ,8.295040976957e-01  
  4.155802298689e-03  ,-4.039286848563e+00  ,8.299035110154e-01  
  4.156012393141e-03  ,-4.044599059837e+00  ,8.306392596909e-01  
  4.156364966536e-03  ,-4.048776327367e+00  ,8.318707148554e-01  
  4.156738377714e-03  ,-4.051290560222e+00  ,8.331704998864e-01  
  4.157485200071e-03  ,-4.054266016482e+00  ,8.357563037416e-01  
  4.158978844786e-03  ,-4.057521914743e+00  ,8.408726478790e-01  
  4.161966134214e-03  ,-4.060915198174e+00  ,8.508827132431e-01  
  4.166248513365e-03  ,-4.063462456496e+00  ,8.647087489183e-01  
  4.174813271666e-03  ,-4.065774731579e+00  ,8.904732672938e-01  
  4.184739113951e-03  ,-4.066661001743e+00  ,9.171023899980e-01  
  4.198143960142e-03  ,-4.067026877020e+00  ,9.473882200725e-01  
  4.216726113462e-03  ,-4.067212327523e+00  ,9.782251906833e-01  
  4.253890420103e-03  ,-4.067308624351e+00  ,9.997012546753e-01  
  4.328219033384e-03  ,-4.067598357108e+00  ,8.816425954875e-01  
  4.448214150572e-03  ,-4.066691620803e+00  ,3.196689536868e-01  
  4.560750771666e-03  ,-2.033764782581e+00  ,-3.725064171156e-01  
  4.613570595884e-03  ,8.539706830856e-01  ,-6.545483789100e-01  
  4.629284096861e-03  ,1.935258169228e+00  ,-7.258820660790e-01  
  4.644527627134e-03  ,3.082119521271e+00  ,-7.883324228218e-01  
  4.646112252378e-03  ,3.206751775451e+00  ,-7.944189758822e-01  
  4.649281502867e-03  ,3.458884838769e+00  ,-8.063552319090e-01  
  4.655620003843e-03  ,3.974113319803e+00  ,-8.292639444507e-01  
  4.660130501890e-03  ,4.057829955019e+00  ,-8.447670022013e-01  
  4.664485360289e-03  ,4.061952701470e+00  ,-8.590915054617e-01  
  4.670293618345e-03  ,4.064619978503e+00  ,-8.771939556315e-01  
  4.678586770201e-03  ,4.066139107929e+00  ,-9.010106876357e-01  
  4.689977456236e-03  ,4.066825608149e+00  ,-9.297243329523e-01  
  4.703493691587e-03  ,4.067066476436e+00  ,-9.576102286161e-01  
  4.718741799498e-03  ,4.067184057223e+00  ,-9.807752270186e-01  
  4.749238015318e-03  ,4.067285730374e+00  ,-9.999885390295e-01  
  4.810230446959e-03  ,4.067523747206e+00  ,-9.292424888088e-01  
  4.930225564146e-03  ,4.067140969601e+00  ,-4.244964879878e-01  
  5.050220681334e-03  ,2.383878023195e+00  ,3.103354144661e-01  
  5.065220070982e-03  ,1.845938037087e+00  ,3.984165327949e-01  
  5.082425881529e-03  ,1.088137938162e+00  ,4.950540929469e-01  
  5.087277413511e-03  ,8.433276920380e-01  ,5.213055923750e-01  
  5.092400551939e-03  ,5.710828423566e-01  ,5.485004561248e-01  
  5.099973488951e-03  ,1.436619255658e-01  ,5.876504830750e-01  
  5.115119362974e-03  ,-7.969046959501e-01  ,6.618742473511e-01  
  5.145411111021e-03  ,-2.985487724514e+00  ,7.917355666015e-01  
  5.166907693052e-03  ,-4.059179034204e+00  ,8.667816171254e-01  
  5.187662697935e-03  ,-4.067099063254e+00  ,9.242702521614e-01  
  5.206928445005e-03  ,-4.067934742175e+00  ,9.636035835497e-01  
  5.220464516783e-03  ,-4.067662578365e+00  ,9.828299656952e-01  
  5.246788979673e-03  ,-4.067382902848e+00  ,9.997964828000e-01  
  5.299437905455e-03  ,-4.067447198153e+00  ,9.521419516394e-01  
  5.404735757017e-03  ,-4.067507954084e+00  ,5.634557941589e-01  
  5.512438393736e-03  ,-4.052237803729e+00  ,-7.807319953553e-02  
  5.560247231627e-03  ,-2.631396745899e+00  ,-3.695684247182e-01  
  5.573874856138e-03  ,-2.063492664550e+00  ,-4.476802481861e-01  
  5.583214760923e-03  ,-1.621195763830e+00  ,-4.993546616135e-01  
  5.593152810240e-03  ,-1.101063829591e+00  ,-5.524464441769e-01  
  5.603237343931e-03  ,-5.215776305574e-01  ,-6.041186024414e-01  
  5.623406411314e-03  ,7.856244828685e-01  ,-6.999913258046e-01  
  5.663744546080e-03  ,3.906751106237e+00  ,-8.566998434148e-01  
  5.692818642759e-03  ,4.065808532897e+00  ,-9.361498445361e-01  
  5.711733437681e-03  ,4.067350046718e+00  ,-9.712342674948e-01  
  5.725684548521e-03  ,4.067442067074e+00  ,-9.883520498414e-01  
  5.752567483091e-03  ,4.067263088492e+00  ,-9.998698825610e-01  
  5.803110695982e-03  ,4.067440564315e+00  ,-9.448354883465e-01  
  5.891391945982e-03  ,4.067620335004e+00  ,-6.306609007964e-01  
  5.982956887388e-03  ,4.064872331155e+00  ,-1.068804910616e-01  
  6.000000000000e-03  ,4.062461787605e+00  ,-1.469576158977e-15  
