  Time                 , V(V1:+)              , V(U1A:OUT)           
  2.500000002704e-03  ,-4.072623331250e-01  ,-4.067564285755e+00  
  2.500000003012e-03  ,-1.000000000000e+00  ,-4.067571261023e+00  
  2.500000003091e-03  ,-1.000000000000e+00  ,-4.067573354596e+00  
  2.500000003249e-03  ,-1.000000000000e+00  ,-4.067577541383e+00  
  2.500000003565e-03  ,-1.000000000000e+00  ,-4.067585913621e+00  
  2.500000004198e-03  ,-1.000000000000e+00  ,-4.067602650195e+00  
  2.500000005462e-03  ,-1.000000000000e+00  ,-4.067636069179e+00  
  2.500000007992e-03  ,-1.000000000000e+00  ,-4.067702735482e+00  
  2.500000013051e-03  ,-1.000000000000e+00  ,-4.067835384033e+00  
  2.500000023169e-03  ,-1.000000000000e+00  ,-4.068097968750e+00  
  2.500000043405e-03  ,-1.000000000000e+00  ,-4.068612472535e+00  
  2.500000083877e-03  ,-1.000000000000e+00  ,-4.069600244614e+00  
  2.500000164820e-03  ,-1.000000000000e+00  ,-4.071421592285e+00  
  2.500000326707e-03  ,-1.000000000000e+00  ,-4.074523863896e+00  
  2.500000650482e-03  ,-1.000000000000e+00  ,-4.079053540439e+00  
  2.500001298030e-03  ,-1.000000000000e+00  ,-4.083968994434e+00  
  2.500002593127e-03  ,-1.000000000000e+00  ,-4.086908768659e+00  
  2.500005183322e-03  ,-1.000000000000e+00  ,-4.087166620090e+00  
  2.500010363710e-03  ,-1.000000000000e+00  ,-4.087068617366e+00  
  2.500020724488e-03  ,-1.000000000000e+00  ,-4.087068999619e+00  
  2.500041446042e-03  ,-1.000000000000e+00  ,-4.087048780885e+00  
  2.500082889152e-03  ,-1.000000000000e+00  ,-4.086950157956e+00  
  2.500165775371e-03  ,-1.000000000000e+00  ,-4.086798427034e+00  
  2.500331547809e-03  ,-1.000000000000e+00  ,-4.086482399293e+00  
  2.500663092685e-03  ,-1.000000000000e+00  ,-4.085864513431e+00  
  2.501326182437e-03  ,-1.000000000000e+00  ,-4.084668961465e+00  
  2.502652361942e-03  ,-1.000000000000e+00  ,-4.082289474598e+00  
  2.504758456302e-03  ,-1.000000000000e+00  ,-4.078315844211e+00  
  2.507082369876e-03  ,-1.000000000000e+00  ,-4.072335057416e+00  
  2.508424761844e-03  ,-1.000000000000e+00  ,-3.980992438279e+00  
  2.509681704593e-03  ,-1.000000000000e+00  ,-3.750721162621e+00  
  2.509975817752e-03  ,-1.000000000000e+00  ,-3.769154483238e+00  
  2.510218861652e-03  ,-1.000000000000e+00  ,-3.752529747397e+00  
  2.510459425998e-03  ,-1.000000000000e+00  ,-3.725800790381e+00  
  2.510539057804e-03  ,-1.000000000000e+00  ,-3.716993144766e+00  
  2.510698321414e-03  ,-1.000000000000e+00  ,-3.701157475432e+00  
  2.510846331668e-03  ,-1.000000000000e+00  ,-3.687184117492e+00  
  2.511001971317e-03  ,-1.000000000000e+00  ,-3.671561612499e+00  
  2.511194065166e-03  ,-1.000000000000e+00  ,-3.652133990037e+00  
  2.511578252864e-03  ,-1.000000000000e+00  ,-3.614145918565e+00  
