#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 15:18:48.902,,
#Sample rate: 800000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Enabled,,
#Mode: Simple,,freq
#Type: Sine,,973hz
#Frequency: 10 kHz,,
#Period: 100 us,,
#Amplitude: 100 mV,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡,,
#Wavegen Channel 2: Enabled,,
#Mode: Simple,,
#Type: DC,,
#Offset: 100 mV,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),
0.003242011,8.945655796,
0.003243261,8.945655796,
0.003244511,8.941970756,
0.003245761,8.949340836,
0.003247011,8.953025876,
0.003248261,8.956710917,
0.003249511,8.941970756,
0.003250761,8.953025876,
0.003252011,8.953025876,
0.003253261,8.956710917,
0.003254511,8.960395957,
0.003255761,8.953025876,
0.003257011,8.953025876,
0.003258261,8.956710917,
0.003259511,8.960395957,
0.003260761,8.971451078,
0.003262011,8.960395957,
0.003263261,8.960395957,
0.003264511,8.960395957,
0.003265761,8.953025876,
0.003267011,8.960395957,
0.003268261,8.960395957,
0.003269511,8.967766038,
0.003270761,8.964080997,
0.003272011,8.964080997,
0.003273261,8.964080997,
0.003274511,8.971451078,
0.003275761,8.967766038,
0.003277011,8.967766038,
0.003278261,8.964080997,
0.003279511,8.964080997,
0.003280761,8.978821158,
0.003282011,8.978821158,
0.003283261,8.982506199,
0.003284511,8.978821158,
0.003285761,8.971451078,
0.003287011,8.964080997,
0.003288261,8.971451078,
0.003289511,8.982506199,
0.003290761,8.978821158,
0.003292011,8.975136118,
0.003293261,8.982506199,
0.003294511,8.978821158,
0.003295761,8.978821158,
0.003297011,8.978821158,
0.003298261,8.982506199,
0.003299511,8.982506199,
0.003300761,8.982506199,
0.003302011,8.989876279,
0.003303261,8.978821158,
0.003304511,8.975136118,
0.003305761,8.975136118,
0.003307011,8.978821158,
0.003308261,8.989876279,
0.003309511,8.986191239,
0.003310761,8.99356132,
0.003312011,8.986191239,
0.003313261,8.986191239,
0.003314511,8.982506199,
0.003315761,8.986191239,
0.003317011,8.982506199,
0.003318261,8.986191239,
0.003319511,8.99356132,
0.003320761,8.986191239,
0.003322011,8.986191239,
0.003323261,8.986191239,
0.003324511,8.989876279,
0.003325761,8.989876279,
0.003327011,8.989876279,
0.003328261,8.986191239,
0.003329511,8.982506199,
0.003330761,8.986191239,
0.003332011,8.989876279,
0.003333261,8.982506199,
0.003334511,8.99724636,
0.003335761,8.99724636,
0.003337011,8.989876279,
0.003338261,8.99724636,
0.003339511,8.99724636,
0.003340761,8.989876279,
0.003342011,8.989876279,
0.003343261,8.99724636,
0.003344511,8.99356132,
0.003345761,8.99356132,
0.003347011,9.0009314,
0.003348261,9.011986521,
0.003349511,9.0009314,
0.003350761,8.99724636,
0.003352011,8.99724636,
0.003353261,8.99724636,
0.003354511,9.0009314,
0.003355761,8.989876279,
0.003357011,9.00461644,
0.003358261,9.0009314,
0.003359511,9.0009314,
0.003360761,9.00461644,
0.003362011,9.0009314,
0.003363261,9.008301481,
0.003364511,9.0009314,
0.003365761,9.0009314,
0.003367011,9.011986521,
0.003368261,9.008301481,
0.003369511,9.0009314,
0.003370761,9.0009314,
0.003372011,9.008301481,
0.003373261,9.008301481,
0.003374511,8.99724636,
0.003375761,8.99724636,
0.003377011,8.99724636,
0.003378261,9.00461644,
0.003379511,9.008301481,
0.003380761,9.019356602,
0.003382011,9.0009314,
0.003383261,9.011986521,
0.003384511,9.00461644,
0.003385761,9.00461644,
0.003387011,9.015671561,
0.003388261,9.015671561,
0.003389511,9.011986521,
0.003390761,9.008301481,
0.003392011,9.008301481,
0.003393261,9.011986521,
0.003394511,9.026726682,
0.003395761,9.015671561,
0.003397011,9.011986521,
0.003398261,9.015671561,
