  Time                 , V(U8:IN7)            , V(V6:+)              
  9.078931784735e-04  ,7.825863912976e-02  ,1.132609111931e+00  
  9.078989720449e-04  ,7.825863814834e-02  ,1.132685298859e+00  
  9.079004204378e-04  ,7.825864043767e-02  ,1.132704345874e+00  
  9.079033172235e-04  ,7.825863992330e-02  ,1.132742440244e+00  
  9.079091107950e-04  ,7.825863814739e-02  ,1.132818630343e+00  
  9.079206979380e-04  ,7.825863568482e-02  ,1.132971015975e+00  
  9.079235947237e-04  ,7.825864020490e-02  ,1.133009113515e+00  
  9.079293882952e-04  ,7.825863875189e-02  ,1.133085309954e+00  
  9.079308366880e-04  ,7.825864043785e-02  ,1.133104359347e+00  
  9.079337334738e-04  ,7.825863992316e-02  ,1.133142458472e+00  
  9.079395270453e-04  ,7.825863814739e-02  ,1.133218658081e+00  
  9.079403000000e-04  ,7.825864118762e-02  ,1.133228824460e+00  
  9.079404000000e-04  ,7.825864147209e-02  ,1.133230139724e+00  
  9.079527396516e-04  ,7.825863525726e-02  ,1.133392442885e+00  
  9.079643923596e-04  ,7.825863347624e-02  ,1.133545718235e+00  
  9.079876977757e-04  ,7.825862936427e-02  ,1.133852290909e+00  
  9.079983000000e-04  ,7.825863322357e-02  ,1.133991768281e+00  
  9.079984000000e-04  ,7.825864142863e-02  ,1.133993083858e+00  
  9.080952456268e-04  ,7.825859218622e-02  ,1.135267415797e+00  
  9.081664731773e-04  ,7.825859058756e-02  ,1.136204977775e+00  
  9.082121660980e-04  ,7.825860726658e-02  ,1.136806573500e+00  
  9.082148192498e-04  ,7.825863913384e-02  ,1.136841508507e+00  
  9.082201255533e-04  ,7.825863900804e-02  ,1.136911379656e+00  
  9.082249200019e-04  ,7.825863838200e-02  ,1.136974512221e+00  
  9.082345088991e-04  ,7.825863675374e-02  ,1.137100781061e+00  
  9.082536866936e-04  ,7.825862952170e-02  ,1.137353333583e+00  
  9.082920422825e-04  ,7.825862133760e-02  ,1.137858497979e+00  
  9.083687534603e-04  ,7.825860180621e-02  ,1.138869064076e+00  
  9.085221758160e-04  ,7.825855397166e-02  ,1.140891144668e+00  
  9.088290205273e-04  ,7.825850925071e-02  ,1.144939092865e+00  
  9.094427099499e-04  ,7.825842808012e-02  ,1.153050084630e+00  
  9.102231016430e-04  ,7.825839602431e-02  ,1.163393251639e+00  
  9.117838850292e-04  ,7.825830248891e-02  ,1.184175743312e+00  
  9.149027815136e-04  ,7.825822298493e-02  ,1.226082255179e+00  
  9.192660322460e-04  ,7.825817551415e-02  ,1.285525596474e+00  
  9.239169111523e-04  ,7.825818795559e-02  ,1.349891347952e+00  
  9.287814131054e-04  ,7.825816544302e-02  ,1.418263377597e+00  
  9.385104170116e-04  ,7.825814372230e-02  ,1.557974040886e+00  
  9.485110273632e-04  ,7.825814258605e-02  ,1.705247645089e+00  
  9.585116377148e-04  ,7.825815068437e-02  ,1.855658156511e+00  
  9.685122480663e-04  ,7.826186323867e-02  ,2.008611901140e+00  
  9.785128584179e-04  ,7.974661224699e-02  ,2.163505166760e+00  
  9.797629347118e-04  ,8.112244711312e-02  ,2.182972815587e+00  
  9.822630872997e-04  ,9.082401346054e-02  ,2.221965585382e+00  
  9.828881254467e-04  ,9.707280783612e-02  ,2.231724874272e+00  
  9.841382017406e-04  ,1.303691416683e-01  ,2.251255714385e+00  
  9.844507208141e-04  ,1.684265943731e-01  ,2.256140869251e+00  
  9.845288505825e-04  ,2.134400108618e-01  ,2.257362305620e+00  
  9.845483830246e-04  ,2.775243735965e-01  ,2.257667673860e+00  
  9.845628937754e-04  ,4.303345019061e-01  ,2.257894535845e+00  
  9.845657737973e-04  ,4.546574046259e-01  ,2.257939562527e+00  
  9.845715338412e-04  ,5.107799829184e-01  ,2.258029616129e+00  
  9.845769653144e-04  ,5.673063647473e-01  ,2.258114533088e+00  
  9.845878282609e-04  ,6.786297603323e-01  ,2.258284367850e+00  
  9.845993000000e-04  ,7.992102734902e-01  ,2.258463721892e+00  
  9.845994000000e-04  ,8.002729262356e-01  ,2.258465285340e+00  
  9.846017000000e-04  ,8.247710971851e-01  ,2.258501244670e+00  
  9.846018000000e-04  ,8.258386658331e-01  ,2.258502808120e+00  
  9.846061750000e-04  ,8.727295590848e-01  ,2.258571209163e+00  
  9.846149249619e-04  ,9.676132225095e-01  ,2.258708011201e+00  
  9.846171124523e-04  ,9.915626410797e-01  ,2.258742211824e+00  
  9.846214874332e-04  ,1.039738954635e+00  ,2.258810613207e+00  
  9.846225811785e-04  ,1.050777195862e+00  ,2.258827713581e+00  
  9.846247686689e-04  ,1.060498317371e+00  ,2.258861914364e+00  
  9.846291436499e-04  ,1.078178110763e+00  ,2.258930316066e+00  
  9.846378936117e-04  ,1.099438686826e+00  ,2.259067120017e+00  
  9.846397935098e-04  ,1.103833877504e+00  ,2.259096824650e+00  
  9.846435933059e-04  ,1.112779974782e+00  ,2.259156234018e+00  
  9.846511928981e-04  ,1.142348336869e+00  ,2.259275053166e+00  
  9.846530437858e-04  ,1.152803732972e+00  ,2.259303991763e+00  
  9.846567456068e-04  ,1.187852862272e+00  ,2.259361869765e+00  
  9.846579000000e-04  ,1.199517635313e+00  ,2.259379918740e+00  
