#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E729
#Date Time: 2023-10-12 17:29:38.118
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.89286 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: -7.42 V Attenuation: 1 X
#Math 1: Function: C1 / 100

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
0.002603125,4.060871224634317,5.370792429682374,0.04060871224634317
0.002609375,4.057241889545307,5.370792429682374,0.04057241889545307
0.002615625,4.057241889545307,5.36713157616062,0.04057241889545307
0.002621875,4.042724549189266,5.162123778942433,0.04042724549189267
0.002628125,4.046353884278276,5.158462925420679,0.04046353884278276
0.002634375,4.046353884278276,5.154802071898926,0.04046353884278276
0.002640625,4.035465879011246,5.044976466246325,0.04035465879011246
0.002646875,4.028207208833225,4.949794274680738,0.04028207208833225
0.002653125,4.031836543922235,4.949794274680738,0.04031836543922235
0.002659375,4.031836543922235,4.946133421158985,0.04031836543922235
0.002665625,4.031836543922235,4.949794274680738,0.04031836543922235
0.002671875,4.028207208833225,4.946133421158985,0.04028207208833225
0.002678125,4.035465879011246,4.949794274680738,0.04035465879011246
0.002684375,4.017319203566195,4.803360133810605,0.04017319203566195
0.002690625,4.013689868477185,4.741125623940798,0.04013689868477185
0.002696875,4.017319203566195,4.741125623940798,0.04017319203566195
0.002703125,4.010060533388175,4.686212821114498,0.04010060533388175
0.002709375,3.999172528121144,4.536117826722609,0.03999172528121144
0.002715625,3.999172528121144,4.536117826722609,0.03999172528121144
0.002721875,4.002801863210154,4.532456973200857,0.04002801863210154
0.002728125,3.995543193032134,4.532456973200857,0.03995543193032134
0.002734375,3.995543193032134,4.506830998548583,0.03995543193032134
0.002740625,3.977396517587083,4.331110029504423,0.03977396517587083
0.002746875,3.973767182498073,4.327449175982669,0.03973767182498072
0.002753125,3.977396517587083,4.327449175982669,0.03977396517587083
0.002759375,3.981025852676093,4.327449175982669,0.03981025852676093
0.002765625,3.977396517587083,4.331110029504423,0.03977396517587083
0.002771875,3.977396517587083,4.331110029504423,0.03977396517587083
0.002778125,3.973767182498073,4.276197226678122,0.03973767182498072
0.002784375,3.959249842142032,4.133423939329742,0.03959249842142032
0.002790625,3.959249842142032,4.133423939329742,0.03959249842142032
0.002796875,3.951991171964012,4.129763085807989,0.03951991171964012
0.002803125,3.933844496518961,3.957702970285581,0.03933844496518961
0.002809375,3.93021516142995,3.932076995633307,0.0393021516142995
0.002815625,3.933844496518961,3.932076995633307,0.03933844496518961
0.002821875,3.93021516142995,3.932076995633307,0.0393021516142995
0.002828125,3.933844496518961,3.932076995633307,0.03933844496518961
0.002834375,3.93021516142995,3.932076995633307,0.0393021516142995
0.002840625,3.933844496518961,3.932076995633307,0.03933844496518961
0.002846875,3.904809815806879,3.73805175898038,0.03904809815806879
0.002853125,3.904809815806879,3.73805175898038,0.03904809815806879
0.002859375,3.908439150895889,3.73805175898038,0.03908439150895889
0.002865625,3.883033805272818,3.62822615332778,0.03883033805272818
0.002871875,3.872145800005787,3.544026522327453,0.03872145800005787
0.002878125,3.872145800005787,3.544026522327453,0.03872145800005787
0.002884375,3.868516464916777,3.544026522327453,0.03868516464916777
0.002890625,3.872145800005787,3.547687375849206,0.03872145800005787
0.002896875,3.853999124560736,3.463487744848879,0.03853999124560736
0.002903125,3.835852449115686,3.360983846239785,0.03835852449115686
0.002909375,3.835852449115686,3.360983846239785,0.03835852449115686
0.002915625,3.835852449115686,3.360983846239785,0.03835852449115686
0.002921875,3.835852449115686,3.360983846239785,0.03835852449115686
0.002928125,3.821335108759645,3.306071043413485,0.03821335108759645
0.002934375,3.795929763136573,3.177941170152118,0.03795929763136573
0.002940625,3.795929763136573,3.181602023673871,0.03795929763136573
0.002946875,3.792300428047563,3.177941170152118,0.03792300428047563
0.002953125,3.795929763136573,3.177941170152118,0.03795929763136573
0.002959375,3.788671092958553,3.144993488456337,0.03788671092958553
0.002965625,3.74511907189043,3.002220201107956,0.03745119071890431
0.002971875,3.748748406979441,3.002220201107956,0.03748748406979441
0.002978125,3.748748406979441,3.002220201107956,0.03748748406979441
0.002984375,3.748748406979441,3.00588105462971,0.03748748406979441
0.002990625,3.752377742068451,2.99489849406445,0.03752377742068451
0.002996875,3.697937715733298,2.833820939107302,0.03697937715733298
0.003003125,3.694308380644288,2.833820939107302,0.03694308380644288
0.003009375,3.697937715733298,2.833820939107302,0.03697937715733298
0.003015625,3.694308380644288,2.837481792629056,0.03694308380644288
0.003021875,3.697937715733298,2.833820939107302,0.03697937715733298
0.003028125,3.643497689398145,2.691047651758922,0.03643497689398145
0.003034375,3.632609684131114,2.676404237671909,0.03632609684131114
0.003040625,3.639868354309135,2.672743384150156,0.03639868354309135
0.003046875,3.636239019220125,2.680065091193662,0.03636239019220125
0.003053125,3.636239019220125,2.672743384150156,0.03636239019220125
0.003059375,3.585428327973982,2.555596071454048,0.03585428327973982
0.003065625,3.570910987617941,2.518987536236515,0.03570910987617941
0.003071875,3.570910987617941,2.518987536236515,0.03570910987617941
0.003078125,3.54187630690586,2.471396440453721,0.0354187630690586
0.003084375,3.494694950748727,2.368892541844628,0.03494694950748727
0.003090625,3.494694950748727,2.37255339536638,0.03494694950748727
0.003096875,3.494694950748727,2.368892541844628,0.03494694950748727
0.003103125,3.494694950748727,2.368892541844628,0.03494694950748727
0.003109375,3.498324285837737,2.376214248888134,0.03498324285837737
0.003115625,3.498324285837737,2.37255339536638,0.03498324285837737
0.003121875,3.458401599858625,2.299336324931314,0.03458401599858625
0.003128125,3.418478913879513,2.229780108018,0.03418478913879514
0.003134375,3.414849578790503,2.233440961539753,0.03414849578790503
0.003140625,3.411220243701493,2.226119254496247,0.03411220243701493
0.003146875,3.331374871743269,2.097989381234879,0.03331374871743269
0.003153125,3.327745536654259,2.101650234756633,0.03327745536654259
0.003159375,3.327745536654259,2.097989381234879,0.03327745536654259
0.003165625,3.331374871743269,2.101650234756633,0.03331374871743269
0.003171875,3.335004206832279,2.101650234756633,0.03335004206832279
0.003178125,3.327745536654259,2.101650234756633,0.03327745536654259
0.003184375,3.313228196298218,2.072363406582606,0.03313228196298218
0.003190625,3.237012159429003,1.969859507973513,0.03237012159429004
0.003196875,3.237012159429003,1.973520361495265,0.03237012159429004
0.003203125,3.240641494518014,1.973520361495265,0.03240641494518014
0.003209375,3.157166787470779,1.874677316407925,0.0315716678747078
0.003215625,3.135390776936718,1.849051341755652,0.03135390776936718
0.003221875,3.142649447114739,1.852712195277405,0.03142649447114738
0.003228125,3.139020112025728,1.849051341755652,0.03139020112025728
0.003234375,3.139020112025728,1.852712195277405,0.03139020112025728
0.003240625,3.073692080423545,1.775834271320584,0.03073692080423545
0.003246875,3.041028064622453,1.742886589624804,0.03041028064622453
0.003253125,3.041028064622453,1.739225736103052,0.03041028064622453
0.003259375,3.037398729533443,1.739225736103052,0.03037398729533443
0.003265625,3.037398729533443,1.739225736103052,0.03037398729533443
0.003271875,3.041028064622453,1.739225736103052,0.03041028064622453
0.003278125,3.041028064622453,1.742886589624804,0.03041028064622453
0.003284375,2.946665352308188,1.647704398059218,0.02946665352308188
0.003290625,2.932148011952147,1.629400130450451,0.02932148011952147
0.003296875,2.928518676863137,1.629400130450451,0.02928518676863137
0.003303125,2.884966655795015,1.589130741711164,0.02884966655795015
0.003309375,2.812379954014811,1.51957452479785,0.02812379954014811
0.003315625,2.816009289103821,1.51957452479785,0.02816009289103821
0.003321875,2.816009289103821,1.51957452479785,0.02816009289103821
0.003328125,2.816009289103821,1.523235378319604,0.02816009289103821
0.003334375,2.786974608391739,1.49760940366733,0.02786974608391739
0.003340625,2.699870566255495,1.424392333232263,0.02699870566255495
0.003346875,2.699870566255495,1.42073147971051,0.02699870566255495
0.003353125,2.696241231166485,1.424392333232263,0.02696241231166485
0.003359375,2.696241231166485,1.424392333232263,0.02696241231166485
0.003365625,2.685353225899454,1.40974891914525,0.02685353225899454
0.003371875,2.576473173229148,1.325549288144923,0.02576473173229148
0.003378125,2.580102508318159,1.325549288144923,0.02580102508318159
0.003384375,2.576473173229148,1.329210141666676,0.02576473173229148
0.003390625,2.580102508318159,1.329210141666676,0.02580102508318159
0.003396875,2.572843838140138,1.325549288144923,0.02572843838140139
0.003403125,2.453075780202802,1.234027950101089,0.02453075780202802
0.003409375,2.453075780202802,1.234027950101089,0.02453075780202802
0.003415625,2.449446445113792,1.237688803622842,0.02449446445113792
0.003421875,2.376859743333588,1.179115147274789,0.02376859743333588
0.003428125,2.326049052087445,1.142506612057256,0.02326049052087445
0.003434375,2.322419716998435,1.138845758535502,0.02322419716998435
0.003440625,2.318790381909425,1.138845758535502,0.02318790381909425
0.003446875,2.322419716998435,1.135184905013749,0.02322419716998435
0.003453125,2.322419716998435,1.142506612057256,0.02322419716998435
0.003459375,2.322419716998435,1.142506612057256,0.02322419716998435
0.003465625,2.23168633977318,1.080272102187449,0.0223168633977318
0.003471875,2.191763653794068,1.058306981056928,0.02191763653794068
0.003478125,2.195392988883078,1.054646127535175,0.02195392988883078
0.003484375,2.155470302903966,1.029020152882902,0.02155470302903966
0.003490625,2.057478255500691,0.9741073500566015,0.02057478255500691
0.003496875,2.057478255500691,0.9704464965348478,0.02057478255500691
0.003503125,2.057478255500691,0.9741073500566015,0.02057478255500691
0.003509375,2.057478255500691,0.9704464965348478,0.02057478255500691
0.003515625,2.03933158005564,0.9594639359695876,0.0203933158005564
0.003521875,1.926822192296324,0.8899077190562741,0.01926822192296324
0.003528125,1.919563522118304,0.8862468655345213,0.01919563522118304
0.003534375,1.926822192296324,0.8899077190562741,0.01926822192296324
0.003540625,1.919563522118304,0.8899077190562741,0.01919563522118304
0.003546875,1.923192857207314,0.8899077190562741,0.01923192857207314
0.003553125,1.923192857207314,0.8899077190562741,0.01923192857207314
0.003559375,1.883270171228202,0.8679425979257545,0.01883270171228201
0.003565625,1.788907458913937,0.8057080880559475,0.01788907458913937
0.003571875,1.781648788735916,0.8130297950994541,0.01781648788735916
0.003578125,1.785278123824926,0.8093689415777003,0.01785278123824927
0.003584375,1.66188073079858,0.7471344317078934,0.0166188073079858
0.003590625,1.640104720264519,0.736151871142634,0.01640104720264519
0.003596875,1.647363390442539,0.736151871142634,0.01647363390442539
0.003603125,1.643734055353529,0.7324910176208803,0.01643734055353529
0.003609375,1.647363390442539,0.7324910176208803,0.01647363390442539
0.003615625,1.650992725531549,0.736151871142634,0.01650992725531549
0.003621875,1.636475385175509,0.7324910176208803,0.01636475385175509
0.003628125,1.502189986882131,0.6629348007075668,0.01502189986882131
0.003634375,1.505819321971142,0.6592739471858131,0.01505819321971141
